Fecha;Fondo;n;Peso;Var_porc;Actualizacion;porc_1_5;porc_2_5
29/6/2023;BOLSAINTERNACIONAL;55;89.93;0.179064265;;
29/6/2023;BOLSAUSA;64;91.67;0.378784886;;
29/6/2023;DIVIDENDO;43;91.96;0.076251239;;
29/6/2023;FINANCIERO;38;86.64;1.190894613;;
29/6/2023;GLOBAL;44;87.82;0.038645612;;
29/6/2023;JAPON;54;89.59;0.450721181;;
29/6/2023;MEGATRENDS;41;96.67;0.27813601;;
29/6/2023;NEWENERGY;42;93.59;-0.004116368;;
29/6/2023;SANIDAD;53;93.8;0.19666753;;
29/6/2023;SECTORINMOBILIARIO;43;97.74;-0.156454522;;
29/6/2023;SMALLCAPS;51;88.3;0.061066056;;
29/6/2023;TECNOLOGICO;41;98.74;0.075253285;;
29/6/2023;ZVIX;2;10;0.08190618;;
29/6/2023;ZVSTOXX;6;30;0.776221684;;
29/6/2023;ZVXN;2;10;-0.01998002;;
30/6/2023;ALPHA;27;81.72;0.383822796;;
30/6/2023;BESTIDEAS;31;78.76;1.009863252;;
30/6/2023;BOLSAESPANA;32;99.21;0.820108566;;
30/6/2023;BOLSAEUROPA;57;88.86;1.111907091;;
30/6/2023;BOLSAINTERNACIONAL;55;89.93;1.039398843;;
30/6/2023;BOLSAUSA;64;91.67;0.925424971;;
30/6/2023;DIVIDENDO;43;91.96;0.641779489;;
30/6/2023;FINANCIERO;38;86.64;0.802349752;;
30/6/2023;GLOBAL;44;87.82;0.949346757;;
30/6/2023;JAPON;54;89.59;-0.205172425;;
30/6/2023;MEGATRENDS;41;96.67;1.453817477;;
30/6/2023;NEWENERGY;42;93.59;1.448684209;;
30/6/2023;SANIDAD;53;93.8;1.256257422;;
30/6/2023;SECTORINMOBILIARIO;43;97.74;0.95395291;;
30/6/2023;SMALLCAPS;51;88.3;0.712607634;;
30/6/2023;TECNOLOGICO;41;98.74;1.180920648;;
30/6/2023;ZVIX;2;10;-0.199409158;;
30/6/2023;ZVSTOXX;6;30;1.175372996;;
30/6/2023;ZVXN;2;10;-0.275275275;;
3/7/2023;ALPHA;27;81.72;0.704741148;;
